date,session,open,close,high,low,range_pts,body_pts,body_pct_range,avg_range_20d,state,open_time,close_time,bars
2023-04-12,London,2020.404,2009.067,2020.783,2008.984,11.798999999999978,-11.336999999999989,-0.961,11.999099999999965,TREND_DOWN,2023-04-12 01:00:00,2023-04-12 04:59:00,240
2023-04-12,NY,2007.701,2005.817,2028.282,2001.062,27.220000000000027,-1.8840000000000146,-0.069,18.75830000000001,V_DOWN,2023-04-12 08:00:00,2023-04-12 11:59:00,240
2023-04-13,Asia,2040.121,2046.129,2047.429,2038.631,8.798000000000002,6.007999999999811,0.683,8.604450000000009,TREND_UP,2023-04-13 19:00:00,2023-04-13 22:59:00,240
2023-04-13,London,2018.497,2026.604,2029.173,2015.314,13.858999999999924,8.106999999999971,0.585,11.950749999999971,TREND_UP,2023-04-13 01:00:00,2023-04-13 04:59:00,240
2023-04-13,NY,2028.602,2038.938,2048.672,2026.57,22.10200000000009,10.336000000000013,0.468,19.287950000000013,TREND_UP,2023-04-13 08:00:00,2023-04-13 11:59:00,239
2023-04-14,London,2043.25,2035.788,2044.294,2031.822,12.472000000000207,-7.461999999999989,-0.598,11.807299999999975,TREND_DOWN,2023-04-14 01:00:00,2023-04-14 04:59:00,240
2023-04-14,NY,2033.286,1995.662,2040.122,1993.651,46.471000000000004,-37.624000000000024,-0.81,19.72505000000002,EXPANSION_DN,2023-04-14 08:00:00,2023-04-14 11:59:00,240
2023-04-17,Asia,1994.626,2000.409,2000.871,1993.344,7.527000000000044,5.783000000000129,0.768,8.818100000000015,TREND_UP,2023-04-17 19:00:00,2023-04-17 22:59:00,240
2023-04-17,London,2004.378,2009.901,2015.035,2003.765,11.269999999999982,5.523000000000138,0.49,11.914949999999987,TREND_UP,2023-04-17 01:00:00,2023-04-17 04:59:00,240
2023-04-17,NY,2009.141,1989.958,2010.61,1981.012,29.597999999999956,-19.182999999999993,-0.648,21.04325000000002,TREND_DOWN,2023-04-17 08:00:00,2023-04-17 11:59:00,240
2023-04-18,Asia,2005.491,2004.189,2008.152,2001.936,6.216000000000122,-1.3019999999999072,-0.209,8.856700000000023,RANGE,2023-04-18 19:00:00,2023-04-18 22:59:00,240
2023-04-18,London,1998.402,2003.2,2005.152,1996.364,8.788000000000011,4.798000000000002,0.546,12.12924999999998,TREND_UP,2023-04-18 01:00:00,2023-04-18 04:59:00,240
2023-04-18,NY,2003.919,2008.429,2011.861,1991.123,20.738000000000056,4.509999999999991,0.217,21.024350000000016,V_UP,2023-04-18 08:00:00,2023-04-18 11:59:00,240
2023-04-19,Asia,1994.48,1991.769,1998.58,1991.506,7.073999999999842,-2.7110000000000127,-0.383,8.663300000000026,V_DOWN,2023-04-19 19:00:00,2023-04-19 22:59:00,240
2023-04-19,London,2003.928,1980.006,2004.279,1976.62,27.659000000000106,-23.922000000000025,-0.865,10.804299999999978,EXPANSION_DN,2023-04-19 01:00:00,2023-04-19 04:59:00,240
2023-04-19,NY,1970.589,1990.742,1995.966,1969.667,26.298999999999978,20.15300000000002,0.766,21.01835000000002,TREND_UP,2023-04-19 08:00:00,2023-04-19 11:59:00,240
2023-04-20,Asia,2004.711,2003.036,2005.545,2000.544,5.000999999999976,-1.6749999999999545,-0.335,8.731400000000018,TREND_DOWN,2023-04-20 19:00:00,2023-04-20 22:59:00,240
2023-04-20,London,1992.71,1996.689,2001.067,1991.421,9.645999999999958,3.979000000000042,0.413,11.169349999999985,TREND_UP,2023-04-20 01:00:00,2023-04-20 04:59:00,240
2023-04-20,NY,2001.114,2002.587,2012.384,1997.442,14.942000000000007,1.4729999999999563,0.099,21.13620000000002,TREND_UP,2023-04-20 08:00:00,2023-04-20 11:59:00,240
2023-04-21,London,2000.6,1988.3,2001.048,1981.937,19.111000000000104,-12.299999999999955,-0.644,11.095449999999994,EXPANSION_DN,2023-04-21 01:00:00,2023-04-21 04:59:00,240
2023-04-21,NY,1987.983,1975.846,1997.976,1971.621,26.355000000000018,-12.136999999999944,-0.461,21.14150000000002,TREND_DOWN,2023-04-21 08:00:00,2023-04-21 11:59:00,240
2023-04-24,Asia,1992.647,1994.792,2000.87,1991.68,9.189999999999827,2.144999999999982,0.233,8.132900000000017,TREND_UP,2023-04-24 19:00:00,2023-04-24 22:59:00,240
2023-04-24,London,1979.618,1985.085,1985.233,1976.43,8.802999999999884,5.467000000000098,0.621,11.582600000000003,TREND_UP,2023-04-24 01:00:00,2023-04-24 04:59:00,240
2023-04-24,NY,1983.073,1984.805,1987.248,1974.066,13.182000000000016,1.731999999999971,0.131,21.43330000000002,V_UP,2023-04-24 08:00:00,2023-04-24 11:59:00,240
2023-04-25,Asia,1997.655,1998.571,2002.453,1995.732,6.721000000000004,0.91599999999994,0.136,8.06210000000001,RANGE,2023-04-25 19:00:00,2023-04-25 22:59:00,240
2023-04-25,London,1991.098,1988.523,1997.237,1986.955,10.282000000000153,-2.5750000000000455,-0.25,11.417300000000001,V_DOWN,2023-04-25 01:00:00,2023-04-25 04:59:00,240
2023-04-25,NY,1977.614,1989.967,1994.55,1976.105,18.444999999999936,12.353000000000065,0.67,21.237250000000017,TREND_UP,2023-04-25 08:00:00,2023-04-25 11:59:00,240
2023-04-26,Asia,1990.109,1998.717,1999.002,1989.55,9.451999999999998,8.608000000000175,0.911,7.936800000000005,TREND_UP,2023-04-26 19:00:00,2023-04-26 22:59:00,240
2023-04-26,London,1995.543,1997.685,1999.3,1994.411,4.888999999999896,2.1420000000000528,0.438,11.530750000000012,TREND_UP,2023-04-26 01:00:00,2023-04-26 04:59:00,240
2023-04-26,NY,1995.754,1991.483,2009.36,1991.453,17.906999999999925,-4.270999999999958,-0.239,21.421900000000015,V_DOWN,2023-04-26 08:00:00,2023-04-26 11:59:00,240
2023-04-27,Asia,1986.793,1990.563,1991.471,1984.901,6.569999999999936,3.770000000000209,0.574,8.045950000000005,TREND_UP,2023-04-27 19:00:00,2023-04-27 22:59:00,240
2023-04-27,London,1999.661,1998.183,2003.216,1997.306,5.9099999999998545,-1.4780000000000655,-0.25,11.222900000000005,V_DOWN,2023-04-27 01:00:00,2023-04-27 04:59:00,240
2023-04-27,NY,1996.914,1982.261,2003.4,1974.053,29.34699999999998,-14.65300000000002,-0.499,21.66795000000001,TREND_DOWN,2023-04-27 08:00:00,2023-04-27 11:59:00,240
