phase5_variant,quarter,session,session_model,train_time,train_dur,val_pnl,val_wr,val_trades,val_max_dd,avg_box_width,pass
asia_a2_fail,Q2 2025,London,breakout_pullback,04:27,5,92.6,36.6,112,-74.6,3.49,True
asia_a2_fail,Q2 2025,NY,breakout_pullback,10:10,10,-8.8,31.1,103,-78.2,8.05,False
asia_a2_fail,Q3 2025,Asia,mean_rev_fail,21:02,10,7.7,62.1,103,-21.0,4.88,True
asia_a2_fail,Q3 2025,London,breakout_pullback,04:26,7,19.3,31.7,123,-93.3,2.78,True
asia_a2_fail,Q3 2025,NY,breakout_pullback,09:59,10,107.5,38.8,80,-48.2,7.21,True
asia_a2_fail,Q4 2025,Asia,mean_rev_fail,20:27,5,-1.0,71.6,116,-43.9,4.39,False
asia_a2_fail,Q4 2025,London,breakout_pullback,04:21,10,-3.1,28.5,130,-112.2,6.35,False
asia_a2_fail,Q4 2025,NY,breakout_pullback,08:43,5,82.5,39.8,98,-32.8,4.73,True
asia_a2_fail,Q1 2026,Asia,mean_rev_fail,21:00,5,-87.4,51.1,90,-101.3,18.35,False
asia_a2_fail,Q1 2026,London,breakout_pullback,01:59,10,47.6,36.3,124,-256.6,13.46,True
asia_a2_fail,Q1 2026,NY,breakout_pullback,08:30,10,7.0,36.7,109,-197.7,11.85,True
